                                   icb_name                                    | icb_code |              practice_name               | practice_code | postcode | total_items | total_actual_cost | avg_cost_per_item | icb_q1_total_actual_cost | icb_q3_total_actual_cost | high_cost_outlier_threshold | amount_above_threshold 
 NHS WEST YORKSHIRE INTEGRATED CARE BOARD                                      | QWO      | THE SALTAIRE & WINDHILL MEDICAL P'SHIP   | B83039        | BD18 1QB |       58290 |         482646.13 |              8.28 |                  1283.38 |                154723.26 |                   384883.07 |               97763.06
 NHS NORTH WEST LONDON INTEGRATED CARE BOARD                                   | QRV      | THE PINN MEDICAL CENTRE                  | E84024        | HA5 3EE  |       33401 |         277376.29 |              8.30 |                 24884.31 |                 88730.69 |                   184500.26 |               92876.03
 NHS FRIMLEY INTEGRATED CARE BOARD                                             | QNQ      | BARTLETT GROUP PRACTICE                  | H81013        | GU16 6QQ |       51456 |         439054.77 |              8.53 |                  8178.58 |                146143.08 |                   353089.81 |               85964.96
 NHS NORTH WEST LONDON INTEGRATED CARE BOARD                                   | QRV      | GP DIRECT                                | E84058        | HA2 0RQ  |       32537 |         268918.75 |              8.27 |                 24884.31 |                 88730.69 |                   184500.26 |               84418.49
 NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD                                 | QH8      | CHELMER MEDICAL PARTNERSHIP              | F81122        | CM1 4HW  |       44410 |         421387.03 |              9.49 |                  5431.78 |                138157.41 |                   337245.86 |               84141.17
 NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD                        | QM7      | MANOR VIEW PRACTICE                      | E82073        | WD23 2NN |       51959 |         483292.25 |              9.30 |                  8992.26 |                165430.27 |                   400087.29 |               83204.96
 NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD               | QHG      | THE DE PARYS GROUP                       | E81037        | MK40 2NT |       52946 |         458590.43 |              8.66 |                  1009.30 |                150914.48 |                   375772.25 |               82818.18
 NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD                             | QYG      | ASHFIELDS PRIMARY CARE CENTRE            | N81032        | CW11 1EQ |       41136 |         411709.78 |             10.01 |                  1389.70 |                132873.32 |                   330098.75 |               81611.03
 NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD                           | QWU      | BEDWORTH HEALTH CENTRE                   | M84011        | CV12 8NQ |       50281 |         401374.72 |              7.98 |                  1142.37 |                129656.40 |                   322427.43 |               78947.29
 NHS BLACK COUNTRY INTEGRATED CARE BOARD                                       | QUA      | WYCHBURY MEDICAL GROUP                   | M87024        | DY9 9DS  |       39648 |         404735.16 |             10.21 |                  6662.28 |                135303.21 |                   328264.61 |               76470.55
 NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD                             | QHL      | IRIDIUM MEDICAL PRACTICE                 | Y02893        | B33 8TA  |       31472 |         346390.61 |             11.01 |                 17277.35 |                118734.33 |                   270919.81 |               75470.80
 NHS GREATER MANCHESTER INTEGRATED CARE BOARD                                  | QOP      | THE ROYTON & CROMPTON FAMILY PRACTICE    | P85013        | OL2 6QW  |       43741 |         382155.74 |              8.74 |                  3862.15 |                125093.94 |                   306941.63 |               75214.11
 NHS NORTH WEST LONDON INTEGRATED CARE BOARD                                   | QRV      | THE LAW MEDICAL GROUP PRACTICE           | E84006        | NW10 5UY |       29206 |         259446.69 |              8.88 |                 24884.31 |                 88730.69 |                   184500.26 |               74946.43
 NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD                    | QT6      | BOSVENA HEALTH                           | L82010        | PL31 2JJ |       56404 |         459393.51 |              8.14 |                   124.39 |                153897.89 |                   384558.14 |               74835.37
 NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD                             | QYG      | PAXTON MEDICAL GROUP                     | N85044        | CH41 0DD |       44983 |         404058.07 |              8.98 |                  1389.70 |                132873.32 |                   330098.75 |               73959.32
 NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD                           | QWU      | THE ATHERSTONE SURGERY                   | M84019        | CV9 1EU  |       54652 |         394768.44 |              7.22 |                  1142.37 |                129656.40 |                   322427.43 |               72341.01
(100 rows)

